,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
19,0.07850521802902222,0.024018800811319598,0.0047476887702941895,0.0008323285712165452,gini,30,100,"{'criterion': 'gini', 'max_depth': 30, 'min_samples_leaf': 100}",0.8180744240992321,0.8221740842851516,0.8111461205198898,0.8204017329657345,0.817949090467502,0.004188142088404811,55
20,0.10267668962478638,0.04417186234121758,0.004751265048980713,0.0008291510826964396,gini,45,5,"{'criterion': 'gini', 'max_depth': 45, 'min_samples_leaf': 5}",0.821421539673164,0.828672705789681,0.8249310752264671,0.83536825521859,0.8275983939769755,0.005167035126457689,36
21,0.08367669582366943,0.027493873535027805,0.00425034761428833,0.0004324658161535111,gini,45,10,"{'criterion': 'gini', 'max_depth': 45, 'min_samples_leaf': 10}",0.8302815514865131,0.828081922016542,0.8298542733359591,0.8377313903111461,0.83148728428754,0.0036981707838547057,24
22,0.0765460729598999,0.014505137373160108,0.004748880863189697,0.0019195505521089969,gini,45,20,"{'criterion': 'gini', 'max_depth': 45, 'min_samples_leaf': 20}",0.8269344359125812,0.8391098857818039,0.8241433635289485,0.8389129578574241,0.8322751607701895,0.006808510933622322,7
23,0.059542953968048096,0.0065061326798048075,0.0065018534660339355,0.004926039343307815,gini,45,50,"{'criterion': 'gini', 'max_depth': 45, 'min_samples_leaf': 50}",0.8159086434337468,0.8326112642772745,0.8190232374950768,0.8322174084285152,0.8249401384086532,0.007556163857028486,40
24,0.0477939248085022,0.004617646645244192,0.004250586032867432,0.000431089154212058,gini,45,100,"{'criterion': 'gini', 'max_depth': 45, 'min_samples_leaf': 100}",0.8180744240992321,0.8221740842851516,0.8111461205198898,0.8204017329657345,0.817949090467502,0.004188142088404811,55
25,0.07517451047897339,0.0022483352657448837,0.005000174045562744,0.0012256789168177103,gini,50,5,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_leaf': 5}",0.822209096278795,0.8294604174871997,0.8257187869239858,0.8359590389917291,0.8283368349204274,0.005093225619898182,34
26,0.07692700624465942,0.007637955073198186,0.004248440265655518,0.00042778912132969193,gini,50,10,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_leaf': 10}",0.8308722189407364,0.8284757778653014,0.8316266246553762,0.837140606538007,0.8320288069998553,0.003172300313886781,13
27,0.06441092491149902,0.002689066359832294,0.00450211763381958,0.00050157649276492,gini,50,20,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_leaf': 20}",0.8267375467611735,0.8391098857818039,0.8241433635289485,0.8395037416305632,0.8323736344256223,0.006994968804104788,6
28,0.053510189056396484,0.003583339075608759,0.004502773284912109,0.0004994940358932382,gini,50,50,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_leaf': 50}",0.8159086434337468,0.8326112642772745,0.8190232374950768,0.8322174084285152,0.8249401384086532,0.007556163857028486,40
